Company Name,Category,Landmark,Building,Street,City,Country,Mobile,Mobile,Email,,,,,,,,,,,Company Name,Founded,Mobile,Phone,Website,Email,Views
Ahmed Al-saadey Office ,"
 | Communications |  ",,,Albab Al-shearqi,Baghdad,Iraq,07903412128,07702555993,,,,,,,,,,,,احمد الساعدي,0000,07903412128,,,,3084,,,
Al- Bathera,"
 | Communications |  ",,,Green Zone-Hay Al- Kindy,Baghdad,Iraq,07901914882,, k.alwan@albathera.com,,,,,,,,,,,Al- Bathera,0000,07901914882,,www.maleknet.com, k.alwan@albathera.com,1350,,,
Al- Malek Telecom,"
 | Communications |  ",,,Iraq,Baghdad,Iraq,07705338800, 07901669131,, asama_tark@yahoo.com,,,,,,,,,,Al- Malek Telecom,0000,07705338800,,www.maleknet.com, asama_tark@yahoo.com,1230,,,
Al rrawasi Co.,"
 | Communications |  ",,,Hairthya,Baghdad,Iraq,07901991681,07902764687,,wkhadhum@arrawasi.com,,,,,,,,,,Al rrawasi Co.,0000,07901991681,,,wkhadhum@arrawasi.com,1030,,,
Al Rasan Company,"
 | Communications |  ",,,Zain Alabidine St,Najaf,Iraq,07905343169 , 07801280020,07801263510 ,, thaar_alrasan@yahoo.com,,,,,,,,,Al Rasan Company,0000,07905343169 ,,,E-mail: thaar_alrasan@yahoo.com,1213,,,
Al-Akmar Al-iraqia communications.,"
 | Communications |  ",,,Ake elnasara.,Baghdad,Iraq,07901343407, 07705331160,964 1-8165946,964 1-8854317 ,alakmar_aliraqia@yahoo.com,,,,,,,,,Al-Akmar Al-iraqia communications.,0000,07901343407,964 1-8165946,,alakmar_aliraqia@yahoo.com,1497,,,
Al-Aqssa Co.,"
 | Communications |  ",,,Baghdad,Baghdad,Iraq, 07904969925,07901919206,,aqssacc@gmail.com,aqssacoo@yahoo.com ,,,,,,,,,Al-Aqssa Co.,0000, 07904969925,,www.aqssa.co,aqssacc@gmail.com,1155,,,
Al-Basha Telecom,"
 | Communications |  ",,,Erbil,Erbil,Iraq,07707888868,07504444415,, ahmedava@yahoo.com,,,,,,,,,,Al-Basha Telecom,0000,07707888868,,, ahmedava@yahoo.com,1031,,,
Ali Ghaere Office.,"
 | Communications |  ",,,Saha  Al-tahrear.,Baghdad,Iraq,07901375498,07707992930,07801671832,964  1-8164475,alirrr66@yahoo.com,,,,,,,,,Ali Ghaere Office.,0000,07901375498,964  1-8164475,,alirrr66@yahoo.com,873,,,
Allai Newroz Telecom,"
 | Communications |  ",,,Ankawa,Erbil,Iraq,964066131,964066121,96406699,info@newroztelecom.com ,,,,,,,,,,Allai Newroz Telecom,0000,,964066131,www.newroztelecom.com,info@newroztelecom.com ,1315,,,
Al-mahoo communications,"
 | Communications |  ",,,Al-Arrsat.,Baghdad,Iraq,07715874899, 07702630321 ,96417178397,mahootele@yahoo.com,amjid_electric@yahoo.com,,,,,,,,,Al-mahoo communications,0000,07715874899,96417178397,,mahootele@yahoo.com,598,,,
Company Name,Category,Landmark,Building,Street,City,Country,Mobile,Mobile,Email,,,,,,,,,,,Company Name,Founded,Mobile,Phone,Website,Email,Views
Ahmed Al-saadey Office ,"
 | Communications |  ",,,Albab Al-shearqi,Baghdad,Iraq,07903412128,07702555993,,,,,,,,,,,,احمد الساعدي,0000,07903412128,,,,3085,,,
Al- Bathera,"
 | Communications |  ",,,Green Zone-Hay Al- Kindy,Baghdad,Iraq,07901914882,, k.alwan@albathera.com,,,,,,,,,,,Al- Bathera,0000,07901914882,,www.maleknet.com, k.alwan@albathera.com,1351,,,
Al- Malek Telecom,"
 | Communications |  ",,,Iraq,Baghdad,Iraq,07705338800, 07901669131,, asama_tark@yahoo.com,,,,,,,,,,Al- Malek Telecom,0000,07705338800,,www.maleknet.com, asama_tark@yahoo.com,1231,,,
